epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,301.611,1.62214,4.01447,0.31741,1.42782,1.24792,0.16568,0.20722,0.11441,0.04592,0.19181,0.24292,0.16586,0.05933,2.34256,5.44556,0.27551,2.51592,1.84959,0.00063125,0.00063125,0.00063125
102,303.578,1.50592,3.81457,0.3328,1.4135,1.23534,0.20971,0.20483,0.12653,0.05204,0.22746,0.22349,0.11898,0.05118,2.33031,5.37783,0.2761,2.49234,1.82404,0.000625062,0.000625062,0.000625062
103,305.823,1.60725,3.98884,0.32754,1.46731,1.23821,0.26962,0.22995,0.19799,0.06416,0.27434,0.22489,0.18956,0.05714,2.33856,5.40794,0.29007,2.51936,1.84873,0.000618875,0.000618875,0.000618875
104,309.066,1.4904,3.76554,0.33181,1.38753,1.20538,0.24935,0.22824,0.17956,0.0652,0.24421,0.2174,0.17282,0.07143,2.3843,5.45411,0.29618,2.54099,1.89019,0.000612687,0.000612687,0.000612687
105,312.51,1.57312,3.90254,0.3155,1.41168,1.23009,0.24935,0.22824,0.17956,0.0652,0.24421,0.2174,0.17282,0.07143,2.3843,5.45411,0.29618,2.54099,1.89019,0.0006065,0.0006065,0.0006065
106,315.096,1.50987,3.77653,0.33368,1.40456,1.23569,0.21473,0.21464,0.17544,0.06146,0.20574,0.19362,0.1674,0.06352,2.38983,5.46774,0.28394,2.50429,1.87164,0.000600313,0.000600313,0.000600313
107,317.356,1.47852,3.72669,0.33186,1.35416,1.20274,0.20259,0.21914,0.17305,0.06426,0.15939,0.21537,0.11652,0.04899,2.40977,5.46783,0.27039,2.48682,1.87073,0.000594125,0.000594125,0.000594125
108,319.334,1.50889,3.79988,0.32355,1.38714,1.22562,0.21236,0.23785,0.16785,0.05472,0.15522,0.15988,0.1001,0.03976,2.41442,5.47504,0.25834,2.4366,1.85855,0.000587938,0.000587938,0.000587938
109,321.398,1.53587,3.76621,0.33392,1.38505,1.21971,0.21236,0.23785,0.16785,0.05472,0.15522,0.15988,0.1001,0.03976,2.41442,5.47504,0.25834,2.4366,1.85855,0.00058175,0.00058175,0.00058175
110,323.496,1.50812,3.76329,0.3425,1.38484,1.22054,0.18839,0.2357,0.12549,0.04759,0.22883,0.13463,0.10119,0.03835,2.43392,5.44967,0.26023,2.43336,1.88163,0.000575563,0.000575563,0.000575563
111,325.982,1.52115,3.77162,0.33165,1.37316,1.22562,0.16403,0.19919,0.12788,0.05534,0.20495,0.14116,0.10758,0.04234,2.45673,5.42398,0.26718,2.4312,1.91328,0.000569375,0.000569375,0.000569375
112,329.307,1.47535,3.62056,0.3256,1.35686,1.18574,0.17623,0.19801,0.12476,0.06031,0.14961,0.17631,0.10146,0.04267,2.43721,5.42423,0.27374,2.46307,1.89746,0.000563187,0.000563187,0.000563187
113,332.409,1.44028,3.50209,0.32534,1.29815,1.17728,0.17623,0.19801,0.12476,0.06031,0.14961,0.17631,0.10146,0.04267,2.43721,5.42423,0.27374,2.46307,1.89746,0.000557,0.000557,0.000557
